,Suburb,Location,Region,Reported,Updated,Type,Information
0,Geelong,Fisher Street (C125),Barwon,"3 Jan, 2016 - 12:00 AM",0,Sporting/Social Event - all lanes closed eastbound,Event from 07:00 AM to 05:00 PM. Event speed limit nil. Traffic delay 0 to 5 min.
1,Bass-coast,Williams Street (C435),Gippsland,"3 Jan, 2016 - 12:00 AM",0,Sporting/Social Event - road closed,Event from 07:00 AM to 02:00 PM. Event speed limit nil. Traffic delay 0 to 5 min.
2,Queenscliffe,Point Lonsdale Road (C127),Barwon,"3 Jan, 2016 - 12:00 AM",0,Sporting/Social Event - road closed,Event from 07:00 AM to 05:00 PM. Event speed limit 50 km/h. Traffic delay 0 to 5 min.
3,Cardinia,Beaconsfield-Emerald Road (C406),Melbourne-metropolitan,"2 Jan, 2016 - 6:23 PM","2 Jan, 2016 - 6:26 PM",Road Reopened - Vehicle Collision,0
4,Kingston,Nepean Highway,Melbourne-metropolitan,"2 Jan, 2016 - 5:07 PM","2 Jan, 2016 - 5:10 PM",Road Reopened - Vehicle Collision,0
5,Whitehorse,Whitehorse Road,Melbourne-metropolitan,"1 Jan, 2016 - 8:50 PM","1 Jan, 2016 - 8:59 PM",Road Reopened - Vehicle Collision,0
6,Latrobe,Monash Way (C456),Gippsland,"1 Jan, 2016 - 3:10 PM","1 Jan, 2016 - 8:06 PM",Road Reopened - Fire,0
7,Mount-alexander,Calder Freeway (M79),Loddon-mallee,"1 Jan, 2016 - 1:58 PM","1 Jan, 2016 - 3:14 PM",Incident Cleared - Fire,0
8,Whittlesea,Plenty Road (C727),Melbourne-metropolitan,"1 Jan, 2016 - 12:52 PM","1 Jan, 2016 - 5:15 PM",All Lanes Now Open - Vehicle Collision,0
9,Surf-coast,Great Ocean Road (B100),Barwon,"1 Jan, 2016 - 12:11 PM","1 Jan, 2016 - 2:16 PM",Road Reopened - Vehicle Collision,0
10,Yarra-ranges,Ridge Road (C403),Melbourne-metropolitan,"5 Jan, 2016 - 10:12 AM","5 Jan, 2016 - 10:13 AM",Traffic Alert - Emergency Works,Contra flow in place near Old Coach Rd for power works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
11,Whittlesea,High Street,Melbourne-metropolitan,"5 Jan, 2016 - 7:53 AM","5 Jan, 2016 - 7:54 AM",Traffic Alert - Emergency Works,Left lane closed northbound near Coulstock St for power works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
12,Maribyrnong,Williamstown Road,Melbourne-metropolitan,"4 Jan, 2016 - 4:14 PM","5 Jan, 2016 - 12:02 AM",Traffic Alert - Emergency Works,Update *** Left lane closed northbound between Somerville Rd and Anderson St due to burst water main. Speed limit reduced to 40km/h. Works expected to be completed by 8:00am. 
13,Casey,Monash Freeway (M1),Melbourne-metropolitan,"4 Jan, 2016 - 3:17 PM","4 Jan, 2016 - 5:00 PM",Road Reopened - Fire,0
14,Surf-coast,Great Ocean Road (B100),Barwon,"4 Jan, 2016 - 1:54 PM","4 Jan, 2016 - 1:57 PM",Incident Cleared - Fire,0
15,Colac-otway,Great Ocean Road (B100),Barwon,"4 Jan, 2016 - 1:51 PM",0,Road Closed - Fire,"Great Ocean Rd remains closed between Cumberland River Caravan Park and Cassidy St, Kennett River Tourist information is available from visitvictoria.com"
16,Colac-otway,Great Ocean Road (B100),Barwon,"4 Jan, 2016 - 1:47 PM","5 Jan, 2016 - 10:07 AM",Road Reopened - Fire,0
17,Yarra,Wellington Street,Melbourne-metropolitan,"4 Jan, 2016 - 8:21 AM","4 Jan, 2016 - 8:22 AM",Road Closed - Debris,Tree has fallen near Hotham St. Road closed. Council on the way to remove. Seek alt route. 
18,Stonnington,Monash Freeway (M1),Melbourne-metropolitan,"3 Jan, 2016 - 10:08 PM","3 Jan, 2016 - 10:22 PM",Road Reopened - Vehicle Collision,0
19,Central-goldfields,Separation Road,Loddon-mallee,"3 Jan, 2016 - 3:54 PM","5 Jan, 2016 - 9:48 AM",Road Reopened - Flood,0
20,Colac-otway,Sarsfield Street,Barwon,"5 Jan, 2016 - 4:13 PM",0,Road Closed - Fire,Sarsfield St  closed near Great Ocean Rd due to fire. For latest fire updates visit http://emergency.vic.gov.au/ 
21,Colac-otway,Jamieson Track,Barwon,"5 Jan, 2016 - 4:10 PM","5 Jan, 2016 - 4:12 PM",Road Closed - Fire,Jamieson Track closed near Great Ocean Rd due to fire. For latest fire updates visit http://emergency.vic.gov.au/ 
22,Brimbank,Western Ring Road (M80),Melbourne-metropolitan,"5 Jan, 2016 - 3:40 PM","5 Jan, 2016 - 4:08 PM",All Lanes Now Open - Vehicle Collision,0
23,Murrindindi,Maroondah Highway (B300),Hume,"5 Jan, 2016 - 3:33 PM","5 Jan, 2016 - 4:43 PM",Incident Cleared - Vehicle Collision,0
24,Maribyrnong,Williamstown Road,Melbourne-metropolitan,"5 Jan, 2016 - 2:00 PM",0,Traffic Alert - Emergency Works,Left lane closed northbound near Anderson St for water works. Speed limit reduced to 40km/h. Works expected to be completed by 5:00pm. 
25,Hobsons-bay,West Gate Freeway (M1),Melbourne-metropolitan,"5 Jan, 2016 - 12:30 PM","5 Jan, 2016 - 1:15 PM",All Lanes Now Open - Vehicle Collision,0
26,Maroondah,Wantirna Road,Melbourne-metropolitan,"5 Jan, 2016 - 11:41 AM","5 Jan, 2016 - 11:42 AM",Traffic Alert - Emergency Works,Left lane closed northbound near Canterbury Rd for water works. Speed limit reduced to 40km/h. Works expected to be completed by 4:30pm. 
27,Yarra-ranges,Burwood Highway (C412),Melbourne-metropolitan,"5 Jan, 2016 - 10:23 AM","5 Jan, 2016 - 10:24 AM",Traffic Alert - Emergency Works,Left lane closed southbound near Blacksmiths Way for power works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
28,Whitehorse,Whitehorse Road,Melbourne-metropolitan,"5 Jan, 2016 - 10:18 AM","5 Jan, 2016 - 10:19 AM",Traffic Alert - Emergency Works,Left lane closed inbound near Mitcham Rd for water works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
29,Maribyrnong,Ballarat Road,Melbourne-metropolitan,"5 Jan, 2016 - 10:16 AM","5 Jan, 2016 - 3:59 PM",Traffic Alert - Emergency Works,Left lane closed outbound near Ashley St for water works. Speed limit reduced to 40km/h. Works expected to be completed by 5:30pm. 
30,Boroondara,Harp Road,Melbourne-metropolitan,"7 Jan, 2016 - 7:54 AM","7 Jan, 2016 - 7:55 AM",Traffic Alert - Emergency Works,Left lanes closed in both directions near Bennett Pde for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
31,Surf-coast,Mountjoy Parade (B100),Barwon,"6 Jan, 2016 - 8:14 AM","6 Jan, 2016 - 8:15 AM",Traffic Alert - Fire,Great Ocean Road is now open 
32,Ballarat,Sturt Street (C805),Grampians,"6 Jan, 2016 - 12:00 AM",0,Sporting/Social Event - road closed,Event from 09:30 AM to 11:00 PM. Event speed limit 40 km/h. Traffic delay 6 to 10 min.
33,Manningham,Doncaster Road,Melbourne-metropolitan,"5 Jan, 2016 - 5:21 PM","5 Jan, 2016 - 5:23 PM",Traffic Alert - Vehicle Collision,Collision near Wetherby Rd has lanes blocked eastbound. Emergency Services on site. 
34,Colac-otway,Murray Street E (A1),Barwon,"5 Jan, 2016 - 4:37 PM","5 Jan, 2016 - 4:39 PM",Road Closed - Vehicle Collision,Car rollover between Bruce St and Church St has road closed. Emergency Services on site diverting traffic. 
35,Colac-otway,Stanway Drive,Barwon,"5 Jan, 2016 - 4:20 PM",0,Road Closed - Fire,Stanway Drive closed near Great Ocean Rd due to fire. For latest fire updates visit http://emergency.vic.gov.au/ 
36,Colac-otway,Wallace Avenue,Barwon,"5 Jan, 2016 - 4:19 PM",0,Road Closed - Fire,Wallace Ave closed near Great Ocean Rd due to fire. For latest fire updates visit http://emergency.vic.gov.au/ 
37,Colac-otway,Bird Track,Barwon,"5 Jan, 2016 - 4:17 PM","5 Jan, 2016 - 4:18 PM",Road Closed - Fire,Bird Track closed near Great Ocean Rd due to fire. For latest fire updates visit http://emergency.vic.gov.au/ 
38,Colac-otway,The Boulevarde,Barwon,"5 Jan, 2016 - 4:16 PM",0,Road Closed - Fire,The Boulevarde closed near Great Ocean Rd due to fire. For latest fire updates visit http://emergency.vic.gov.au/ 
39,Colac-otway,Olive Street,Barwon,"5 Jan, 2016 - 4:15 PM",0,Road Closed - Fire,Olive Street  closed near Great Ocean Rd due to fire. For latest fire updates visit http://emergency.vic.gov.au/ 
40,Colac-otway,Bird Track,Barwon,"7 Jan, 2016 - 3:10 PM",0,Road Closed - Fire,Bird Track closed near Great Ocean Rd due to fire. For latest fire updates visit http://emergency.vic.gov.au/ 
41,Colac-otway,Wallace Avenue,Barwon,"7 Jan, 2016 - 3:09 PM",0,Road Closed - Fire,Wallace Ave closed near Great Ocean Rd due to fire. For latest fire updates visit http://emergency.vic.gov.au/ 
42,Colac-otway,Stanway Drive,Barwon,"7 Jan, 2016 - 3:07 PM","7 Jan, 2016 - 3:08 PM",Road Closed - Fire,Stanway Drive closed near Great Ocean Rd due to fire. For latest fire updates visit http://emergency.vic.gov.au/ 
43,Colac-otway,Olive Street,Barwon,"7 Jan, 2016 - 2:48 PM","7 Jan, 2016 - 2:50 PM",Road Closed - Fire,Olive Street  closed near Great Ocean Rd due to fire. For latest fire updates visit http://emergency.vic.gov.au/ 
44,Melbourne,West Gate Freeway (M1),Melbourne-metropolitan,"7 Jan, 2016 - 12:43 PM","7 Jan, 2016 - 12:45 PM",1 lane closed outbound - Vehicle Breakdown,Left lane blocked on the outbound ramp from Kings Way to West Gate Fwy due to breakdown.  
45,Hobsons-bay,Princes Freeway (M1),Melbourne-metropolitan,"7 Jan, 2016 - 10:40 AM","7 Jan, 2016 - 11:22 AM",All Lanes Now Open - Vehicle Breakdown,0
46,Stonnington,Waverley Road,Melbourne-metropolitan,"7 Jan, 2016 - 9:35 AM","7 Jan, 2016 - 9:36 AM",Traffic Alert - Emergency Works,Left lane closed westbound near Darling Rd for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 3:00pm. 
47,Maribyrnong,Francis Street,Melbourne-metropolitan,"7 Jan, 2016 - 9:33 AM","7 Jan, 2016 - 9:34 AM",Traffic Alert - Emergency Works,Contra flow in place near Wembley Ave for gas works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
48,Central-goldfields,Possum Gully Road,Loddon-mallee,"7 Jan, 2016 - 8:37 AM","7 Jan, 2016 - 8:48 AM",Road Closed - Road Damage,Possum Gully road between numbers 482 and 514 will be closed from 6/1/16 at 10am for approx. 10 days to allow for a new bridge construction to take place.
